[20874.829922] Loading Module that iterates through the tasks using Depth-First Search Tree
[20874.829925] UID	PID	PPID	S	PRI	NI	TTY	RSS	CMD
[20874.829926] --------------------------------------------------------------------------------
[20874.829929] 0	1	0	S	80	0	?	985	systemd
[20874.829930] 0	200	1	S	80	0	?	1049	systemd-journal
[20874.829932] 0	209	1	S	80	0	?	668	systemd-udevd
[20874.829933] 100	327	1	S	80	0	?	485	systemd-timesyn
[20874.829935] 105	498	1	S	80	0	?	1007	dbus-daemon
[20874.829936] 107	537	1	S	80	0	?	613	avahi-daemon
[20874.829938] 107	544	537	S	80	0	?	9	avahi-daemon
[20874.829939] 0	538	1	S	80	0	?	2507	accounts-daemon
[20874.829940] 108	557	1	S	80	0	?	2723	whoopsie
[20874.829942] 0	559	1	S	80	0	?	465	cron
[20874.829943] 0	561	1	S	80	0	?	1082	ModemManager
[20874.829944] 0	564	1	S	80	0	?	2731	NetworkManager
[20874.829946] 65534	657	564	S	80	0	?	565	dnsmasq
[20874.829947] 0	2942	564	S	80	0	?	1516	dhclient
[20874.829948] 104	577	1	S	80	0	?	1054	rsyslogd
[20874.829950] 0	579	1	S	80	0	?	525	cgmanager
[20874.829951] 0	581	1	S	80	0	?	651	systemd-logind
[20874.829952] 0	606	1	S	80	0	?	2409	polkitd
[20874.829953] 0	608	1	S	80	0	?	1337	cups-browsed
[20874.829955] 114	615	1	S	80	0	?	552	kerneloops
[20874.829956] 0	620	1	S	80	0	?	673	wpa_supplicant
[20874.829957] 0	638	1	S	80	0	?	1386	lightdm
[20874.829959] 0	655	638	S	80	0	tty7	14208	Xorg
[20874.829960] 0	925	638	S	80	0	?	1031	lightdm
[20874.829961] 1000	1047	925	S	80	0	?	856	upstart
[20874.829962] 1000	1136	1047	S	80	0	?	466	upstart-udev-br
[20874.829964] 1000	1142	1047	S	80	0	?	921	dbus-daemon
[20874.829965] 1000	1154	1047	S	80	0	?	1067	window-stack-br
[20874.829967] 1000	1170	1047	S	80	0	?	1057	gvfsd
[20874.829968] 1000	1186	1047	S	80	0	?	971	gvfsd-fuse
[20874.829969] 1000	1205	1047	S	80	0	?	1286	at-spi-bus-laun
[20874.829970] 1000	1233	1205	S	80	0	?	806	dbus-daemon
[20874.829972] 1000	1246	1047	S	80	0	?	1480	ibus-daemon
[20874.829973] 1000	1263	1246	S	80	0	?	1353	ibus-dconf
[20874.829974] 1000	1265	1246	S	80	0	?	2422	ibus-ui-gtk3
[20874.829976] 1000	1323	1246	S	80	0	?	1303	ibus-engine-sim
[20874.829977] 1000	1237	1047	S	80	0	?	908	at-spi2-registr
[20874.829978] 1000	1174	1047	S	80	0	?	3007	bamfdaemon
[20874.829979] 1000	1267	1047	S	80	0	?	1256	ibus-x11
[20874.829980] 1000	1287	1047	S	80	0	?	379	upstart-dbus-br
[20874.829982] 1000	1290	1047	S	80	0	?	296	upstart-dbus-br
[20874.829983] 1000	1292	1047	S	80	0	?	3989	hud-service
[20874.829984] 1000	1294	1047	S	80	0	?	3674	unity-settings-
[20874.829985] 1000	1291	1047	S	80	0	?	340	upstart-file-br
[20874.829986] 1000	1300	1047	S	80	0	?	41180	compiz
[20874.829988] 1000	1303	1047	S	80	0	?	2532	gnome-session
[20874.829989] 1000	1491	1303	S	80	0	?	1636	polkit-gnome-au
[20874.829990] 1000	1492	1303	S	80	0	?	2204	nm-applet
[20874.829992] 1000	1494	1303	S	80	0	?	1654	unity-fallback-
[20874.829993] 1000	1496	1303	S	80	0	?	9556	nautilus
[20874.829994] 1000	1646	1303	S	80	0	?	2255	telepathy-indic
[20874.829996] 1000	1669	1303	S	80	0	?	2338	zeitgeist-datah
[20874.829997] 1000	1730	1303	S	80	0	?	4437	update-notifier
[20874.829998] 1000	1786	1303	S	80	0	?	1543	deja-dup-monito
[20874.830000] 1000	1307	1047	S	80	0	?	4457	unity-panel-ser
[20874.830001] 1000	1322	1047	S	80	0	?	945	dconf-service
[20874.830002] 1000	1395	1047	S	80	0	?	1499	indicator-messa
[20874.830003] 1000	1396	1047	S	80	0	?	1270	indicator-bluet
[20874.830005] 1000	1399	1047	S	80	0	?	1497	indicator-power
[20874.830006] 1000	1401	1047	S	80	0	?	1577	indicator-datet
[20874.830007] 1000	1404	1047	S	80	0	?	2204	indicator-keybo
[20874.830008] 1000	1407	1047	S	80	0	?	2057	indicator-sound
[20874.830009] 1000	1411	1047	S	80	0	?	1939	indicator-print
[20874.830011] 1000	1414	1047	S	80	0	?	1497	indicator-sessi
[20874.830012] 1000	1428	1047	S	80	0	?	1342	indicator-appli
[20874.830013] 1000	1452	1047	S	69	-11	?	753	pulseaudio
[20874.830014] 1000	1449	1047	S	80	0	?	1595	evolution-sourc
[20874.830015] 1000	1518	1047	S	80	0	?	1643	gvfs-udisks2-vo
[20874.830017] 1000	1531	1047	S	80	0	?	2355	gvfs-afc-volume
[20874.830018] 1000	1539	1047	S	80	0	?	980	gvfs-mtp-volume
[20874.830019] 1000	1541	1047	S	80	0	?	1177	gconfd-2
[20874.830021] 1000	1546	1047	S	80	0	?	1530	gvfs-gphoto2-vo
[20874.830022] 1000	1502	1047	S	80	0	?	6191	evolution-calen
[20874.830023] 1000	1558	1502	S	80	0	?	1614	evolution-calen
[20874.830025] 1000	1568	1502	S	80	0	?	1638	evolution-calen
[20874.830026] 1000	1590	1047	S	80	0	?	1744	gvfsd-trash
[20874.830027] 1000	1571	1047	S	80	0	?	2202	evolution-addre
[20874.830028] 1000	1593	1571	S	80	0	?	2245	evolution-addre
[20874.830029] 1000	1618	1047	S	80	0	?	1041	gvfsd-metadata
[20874.830031] 1000	1622	1047	S	80	0	?	1814	gvfsd-burn
[20874.830032] 1000	1655	1047	S	80	0	?	2643	mission-control
[20874.830033] 1000	1675	1047	S	80	0	?	1976	zeitgeist-daemo
[20874.830034] 1000	1683	1047	S	80	0	?	3188	zeitgeist-fts
[20874.830035] 1000	1754	1047	S	90	10	?	7829	update-manager
[20874.830037] 1000	1808	1047	S	80	0	?	3190	notify-osd
[20874.830038] 1000	2216	1047	S	80	0	?	4312	unity-scope-hom
[20874.830039] 1000	2230	1047	S	80	0	?	2805	unity-files-dae
[20874.830040] 1000	2229	1047	S	80	0	?	4291	unity-scope-loa
[20874.830042] 1000	2272	1047	S	80	0	?	6621	gnome-terminal-
[20874.830043] 1000	2278	2272	S	80	0	?	403	gnome-pty-helpe
[20874.830045] 1000	2280	2272	S	80	0	pts2	1103	bash
[20874.830046] 1000	5523	2272	S	80	0	pts11	1229	bash
[20874.830047] 0	6338	5523	S	80	0	pts11	937	sudo
[20874.830048] 0	6339	6338	R	80	0	pts11	404	insmod
[20874.830050] 1000	5474	1047	S	80	0	?	3161	unity-music-dae
[20874.830051] 1000	5550	1047	S	80	0	?	3851	gvfsd-http
[20874.830052] 0	858	1	S	80	0	tty1	389	agetty
[20874.830053] 116	984	1	S	81	1	?	552	rtkit-daemon
[20874.830055] 0	999	1	S	80	0	?	2647	upowerd
[20874.830056] 111	1013	1	S	80	0	?	2495	colord
[20874.830057] 1000	1033	1	S	80	0	?	707	systemd
[20874.830058] 1000	1034	1033	S	80	0	?	190	(sd-pam)
[20874.830060] 1000	1045	1	S	80	0	?	1751	gnome-keyring-d
[20874.830061] 0	1523	1	S	80	0	?	1943	udisksd
[20874.830062] 0	3392	1	S	80	0	?	1505	cupsd
[20874.830063] 7	3396	3392	S	80	0	?	1174	dbus
[20874.830065] 7	3397	3392	S	80	0	?	1209	dbus
[20874.830066] 106	5469	1	S	80	0	?	292	uuidd
[20874.830067] 0	2	0	S	80	0	?	985	kthreadd
[20874.830068] 0	3	2	S	80	0	?	0	ksoftirqd/0
[20874.830069] 0	5	2	S	60	-20	?	0	kworker/0:0H
[20874.830070] 0	7	2	S	80	0	?	0	rcu_sched
[20874.830072] 0	8	2	S	80	0	?	0	rcu_bh
[20874.830073] 0	9	2	S	-40	0	?	0	migration/0
[20874.830074] 0	10	2	S	-40	0	?	0	watchdog/0
[20874.830075] 0	11	2	S	60	-20	?	0	khelper
[20874.830077] 0	12	2	S	80	0	?	0	kdevtmpfs
[20874.830078] 0	13	2	S	60	-20	?	0	netns
[20874.830079] 0	14	2	S	60	-20	?	0	perf
[20874.830080] 0	15	2	S	80	0	?	0	khungtaskd
[20874.830082] 0	16	2	S	60	-20	?	0	writeback
[20874.830083] 0	17	2	S	85	5	?	0	ksmd
[20874.830084] 0	18	2	S	99	19	?	0	khugepaged
[20874.830085] 0	19	2	S	60	-20	?	0	crypto
[20874.830086] 0	20	2	S	60	-20	?	0	kintegrityd
[20874.830087] 0	21	2	S	60	-20	?	0	bioset
[20874.830089] 0	22	2	S	60	-20	?	0	kblockd
[20874.830090] 0	23	2	S	60	-20	?	0	ata_sff
[20874.830091] 0	24	2	S	60	-20	?	0	md
[20874.830092] 0	25	2	S	60	-20	?	0	devfreq_wq
[20874.830094] 0	29	2	S	80	0	?	0	kswapd0
[20874.830095] 0	30	2	S	80	0	?	0	fsnotify_mark
[20874.830096] 0	31	2	S	80	0	?	0	ecryptfs-kthrea
[20874.830097] 0	42	2	S	60	-20	?	0	kthrotld
[20874.830099] 0	43	2	S	60	-20	?	0	acpi_thermal_pm
[20874.830100] 0	45	2	S	80	0	?	0	scsi_eh_0
[20874.830101] 0	46	2	S	60	-20	?	0	scsi_tmf_0
[20874.830102] 0	47	2	S	80	0	?	0	scsi_eh_1
[20874.830103] 0	48	2	S	60	-20	?	0	scsi_tmf_1
[20874.830104] 0	50	2	S	60	-20	?	0	ipv6_addrconf
[20874.830106] 0	70	2	S	60	-20	?	0	deferwq
[20874.830107] 0	71	2	S	60	-20	?	0	charger_manager
[20874.830108] 0	113	2	S	60	-20	?	0	kpsmoused
[20874.830109] 0	115	2	S	80	0	?	0	scsi_eh_2
[20874.830110] 0	116	2	S	60	-20	?	0	scsi_tmf_2
[20874.830111] 0	117	2	S	60	-20	?	0	kworker/0:1H
[20874.830113] 0	143	2	S	80	0	?	0	jbd2/sda1-8
[20874.830114] 0	145	2	S	60	-20	?	0	ext4-rsv-conver
[20874.830115] 0	178	2	S	80	0	?	0	kauditd
[20874.830116] 0	450	2	S	60	-20	?	0	iprt-VBoxWQueue
[20874.830117] 0	3394	2	S	80	0	?	0	kworker/0:2
[20874.830118] 0	3534	2	S	80	0	?	0	kworker/u2:1
[20874.830120] 0	5412	2	S	80	0	?	0	kworker/0:1
[20874.830121] 0	5978	2	S	80	0	?	0	kworker/u2:2
